"PCC_Threshold","Resolution_Limit","community","Patient_Count","Bacterial","None","Viral"
0.95,1.6,6,22,2,19,1
0.95,1.7,1,86,9,71,6
0.95,1.7,2,51,1,22,28
0.95,1.7,3,45,0,14,31
0.95,1.7,4,43,2,35,6
0.95,1.7,5,21,2,18,1
0.95,1.8,1,80,9,65,6
0.95,1.8,2,43,0,13,30
0.95,1.8,3,39,0,12,27
0.95,1.8,4,39,1,32,6
0.95,1.8,5,32,2,25,5
0.95,1.8,6,23,3,19,1
0.95,1.9,1,55,2,49,4
0.95,1.9,2,37,0,11,26
0.95,1.9,3,37,1,30,6
0.95,1.9,4,33,7,21,5
0.95,1.9,5,32,0,13,19
0.95,1.9,6,31,2,25,4
0.95,2,1,70,8,57,5
0.95,2,2,34,0,11,23
0.95,2,3,34,1,27,6
0.95,2,4,33,3,26,4
0.95,2,5,32,0,10,22
0.96,0.1,1,88,4,63,22
0.96,0.2,1,66,1,45,20
0.96,0.2,2,22,3,18,2
0.96,0.3,1,66,1,45,20
0.96,0.3,2,22,3,18,2
0.96,0.4,1,66,1,45,20
0.96,0.4,2,22,3,18,2
0.96,0.5,1,41,0,22,19
0.96,0.5,2,25,1,23,1
0.96,0.5,3,22,3,18,2
0.96,0.6,1,27,0,17,10
0.96,0.6,2,24,1,23,0
0.96,0.6,3,22,3,18,2
0.96,0.7,1,29,0,17,12
0.96,0.7,2,24,1,23,0
0.96,0.7,3,22,3,18,2
0.96,0.8,1,26,0,18,8
0.96,0.8,2,22,3,18,2
0.96,0.8,3,22,1,21,0
0.96,0.9,1,27,0,17,10
0.96,0.9,2,24,1,23,0
0.96,0.9,3,22,3,18,2
0.96,1,1,22,3,18,2
0.96,1,2,22,1,21,0
0.96,1,3,20,0,11,9
0.96,1.1,1,22,3,18,2
0.96,1.1,2,22,1,21,0
0.96,1.2,1,23,3,19,2
0.96,1.2,2,22,1,21,0
0.96,1.3,1,22,3,18,2
0.96,1.3,2,22,1,21,0
0.96,1.4,1,22,3,18,2
0.96,1.4,2,22,1,21,0
