"PCC_Threshold","Resolution_Limit","community","Patient_Count","Bacterial","None","Viral"
0.95,1.6,5,24,2,20,2
0.95,1.7,1,82,10,67,5
0.95,1.7,2,61,1,34,26
0.95,1.7,3,45,0,14,31
0.95,1.7,4,43,2,35,6
0.95,1.8,1,78,8,65,5
0.95,1.8,2,43,0,13,30
0.95,1.8,3,39,0,12,27
0.95,1.8,4,39,1,32,6
0.95,1.8,5,33,3,25,5
0.95,1.8,6,23,3,19,1
0.95,1.9,1,68,7,57,4
0.95,1.9,2,38,1,30,7
0.95,1.9,3,37,0,11,26
0.95,1.9,4,36,0,13,23
0.95,1.9,5,31,3,25,3
0.95,2,1,71,9,57,5
0.95,2,2,55,1,30,24
0.95,2,3,34,1,27,6
0.95,2,4,30,0,12,18
0.96,0.1,1,88,4,63,22
0.96,0.2,1,66,1,45,20
0.96,0.2,2,22,3,18,2
0.96,0.3,1,66,1,45,20
0.96,0.3,2,22,3,18,2
0.96,0.4,1,66,3,42,22
0.96,0.4,2,22,1,21,0
0.96,0.5,1,41,0,22,19
0.96,0.5,2,25,1,23,1
0.96,0.5,3,22,3,18,2
0.96,0.6,1,29,0,17,12
0.96,0.6,2,24,1,23,0
0.96,0.6,3,22,3,18,2
0.96,0.7,1,29,0,19,10
0.96,0.7,2,22,3,18,2
0.96,0.7,3,22,1,21,0
0.96,0.8,1,27,0,17,10
0.96,0.8,2,24,1,23,0
0.96,0.8,3,22,3,18,2
0.96,0.9,1,27,0,17,10
0.96,0.9,2,24,1,23,0
0.96,0.9,3,22,3,18,2
0.96,1,1,29,0,19,10
0.96,1,2,22,3,18,2
0.96,1,3,22,1,21,0
0.96,1.1,1,22,3,18,2
0.96,1.1,2,22,1,21,0
0.96,1.1,3,20,0,11,9
0.96,1.2,1,22,3,18,2
0.96,1.2,2,22,1,21,0
0.96,1.2,3,20,0,11,9
0.96,1.3,1,22,3,18,2
0.96,1.3,2,22,1,21,0
0.96,1.4,1,22,3,18,2
0.96,1.4,2,22,1,21,0
